OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
2001,"Minneapolis, MN","Minneapolis, MN Empowerment Zone",Empowerment Zone,002900,053,27,MN,No,,Mr.,Kim,W.,Havey, , ,Director, ,105 5th Avenue South,Room 200,Minneapolis,MN,55401,612-673-5016,612-673-5293,kim.havey@ci.minneapolis.mn.us,27053002900,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/mn/minneapolisEZ/index.cfm,Empowerment Zone (Round II),1025710.109375,4616.06273706926
2002,"Minneapolis, MN","Minneapolis, MN Empowerment Zone",Empowerment Zone,004300,053,27,MN,No,,Mr.,Kim,W.,Havey, , ,Director, ,105 5th Avenue South,Room 200,Minneapolis,MN,55401,612-673-5016,612-673-5293,kim.havey@ci.minneapolis.mn.us,27053004300,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/mn/minneapolisEZ/index.cfm,Empowerment Zone (Round II),1789852.484375,6882.94871773211
2003,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,007810,157,47,TN,No,,Ms.,Dottie, ,Jones, , , ,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157007810,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,8943899.0546875,15322.0896053465
2004,Empowerment Alliance of Southwest Florida,Empowerment Alliance of Southwest Florida Enterprise Community,Enterprise Community,960200,051,12,FL,No,,Ms.,Barbara, ,Cacchione, , ,Coordinator, ,"2400 Tamiami Trail North, #300", ,Naples,FL,34103,941-649-5000,941-649-5337,bcacchione@home.com,12051960200,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/florida.html,None,2048255484.55664,223802.899514264
2005,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,380300,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031380300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),584465.1875,3234.56154771092
2006,"Hunington, WV/Ironton, OH","Huntington, WV/Ironton, OH Empowerment Zone",Empowerment Zone,000600,011,54,WV,No,,Mrs,Cathy,L.,Burns, , ,Executive Director, ,320 Ninth Street,Suite B,Huntington,WV,25701,304-399-5454,304-399-5458,burnsc@ntelos.net,54011000600,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WV&community=ironton_huntington&info1=Round+I+EC&info1=Round+II+EZ&ID=54066600,Empowerment Zone (Round II),2989728.90234375,9984.12320708367
2007,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,007900,157,47,TN,No,,Ms.,Dottie, ,Jones, , ,City of Memphis,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157007900,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,4100051.58984375,8242.55254085915
2008,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,000300,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097000300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,878453.578125,4070.61460930963
2009,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,461000,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031461000,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1133358.08203125,5141.79548563718
2010,Southernmost Illinois Delta,Southernmost Illinois Delta Empowerment Zone,Empowerment Zone,957800,003,17,IL,No,,Ms.,Donna, ,Raynalds, , , , ,203 Rustic Campus Drive, ,Ullin,IL,62992,618-634-9471,618-634-9452,djraynalds@sidezoffice.org,17003957800,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Rural,http://www.ezec.gov/Communit/illinois.html,Empowerment Zone (Round II),73061333.171875,44521.6816436264
